"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"id";"created_at";"user.screen_name";"text";"favorite_count";"retweet_count";"entities.hashtags.*.text";"entities.user_mentions.*.name";"entities.urls.*.display_url";"lang"
"1";"17";"1";"1371225339368775685";"data";"statuses.*";"fetched (200)";"2021-03-14 19:28:47.582198";"Twitter:/search/tweets";"1371225339368775685";"Sun Mar 14 22:22:51 +0000 2021";"betox13";"@ValdiviaLiette @galdino_nilma @Seiva100 @RochaLcia @betebonilha @SolBarros2 @JosilenaT @AliceDdos @Annona_cacans… https://t.co/UHlVQ0M0v8";"1";"0";"";"Val🚩EsquerdaPalmeirasLulaLivre🚩💚🏆🏆 🚩✊🚩;Nilma #forabolsonaro;Atreva-se;Lúcia Rocha;Bete;☭ DIVINA COMÉDIA HUMANA ☭;Crush do Belchior;Alice;Anadenanthera falcata";"twitter.com/i/web/status/1…";"pt"
"1";"18";"1";"1371225151514284033";"data";"statuses.*";"fetched (200)";"2021-03-14 19:28:47.582198";"Twitter:/search/tweets";"1371225151514284033";"Sun Mar 14 22:22:06 +0000 2021";"Thay_AD";"A tradução oi? KKKKKKKK n sei se rio ou se choro https://t.co/lJV0w51DtU";"0";"0";"";"";"twitter.com/BTS_twt/status…";"pt"
"1";"19";"1";"1371225128982437888";"data";"statuses.*";"fetched (200)";"2021-03-14 19:28:47.582198";"Twitter:/search/tweets";"1371225128982437888";"Sun Mar 14 22:22:01 +0000 2021";"ofigli";"chutei o balde fds USE CODE OFIGLI #ad https://t.co/C1LCWSyudA";"0";"0";"ad";"";"";"pt"
"1";"20";"1";"1371225045075365898";"data";"statuses.*";"fetched (200)";"2021-03-14 19:28:47.582198";"Twitter:/search/tweets";"1371225045075365898";"Sun Mar 14 22:21:41 +0000 2021";"Robson0128";"@ptbrasil @Ann_aD_ @dilmabr Olá companheiros que lutam contra o fascismo! Gostaria de atingir mil seguidores, para… https://t.co/GD3AFumwDQ";"0";"0";"";"PT Brasil;Anna 🏴 😷 🚩 🌟;Dilma Rousseff";"twitter.com/i/web/status/1…";"pt"
"1";"21";"1";"1371225040709111817";"data";"statuses.*";"fetched (200)";"2021-03-14 19:28:47.582198";"Twitter:/search/tweets";"1371225040709111817";"Sun Mar 14 22:21:40 +0000 2021";"ad_NatOliv";"q ódio https://t.co/LEA7t8B1n7";"0";"0";"";"";"twitter.com/bailedo17/stat…";"pt"
"1";"22";"1";"1371224808411824130";"data";"statuses.*";"fetched (200)";"2021-03-14 19:28:47.582198";"Twitter:/search/tweets";"1371224808411824130";"Sun Mar 14 22:20:45 +0000 2021";"TheDarkFN";"RT @kchorrolooko: ARENA COM SUBS | USE CODE "" KCHORRO "" #ad | !loja !ossinhos https://t.co/Qwyjd2iOti";"0";"2";"ad";"Kchorro lôÔko 🐶";"twitch.tv/kchorrolooko";"pt"
"1";"23";"1";"1371224690455363591";"data";"statuses.*";"fetched (200)";"2021-03-14 19:28:47.582198";"Twitter:/search/tweets";"1371224690455363591";"Sun Mar 14 22:20:16 +0000 2021";"HenriqueFrancaC";"E pensar que as marcas tão dando #ad para influencer que fez post falando sobre viajar e levar doença para regiões… https://t.co/tIyliEFsHo";"0";"0";"ad";"";"twitter.com/i/web/status/1…";"pt"
"1";"24";"1";"1371224663246974979";"data";"statuses.*";"fetched (200)";"2021-03-14 19:28:47.582198";"Twitter:/search/tweets";"1371224663246974979";"Sun Mar 14 22:20:10 +0000 2021";"_lupin03_";"@Arnaldobarbalh1 @_rschweitzer Começou com ad hominem haha Sou médico da linha de frente. Trabalho em hospitais de… https://t.co/sx94jYf1XU";"0";"0";"";"Arnaldo barbalho Simonetti neto;Ricardo Schweitzer";"twitter.com/i/web/status/1…";"pt"
"1";"25";"1";"1371224646385872908";"data";"statuses.*";"fetched (200)";"2021-03-14 19:28:47.582198";"Twitter:/search/tweets";"1371224646385872908";"Sun Mar 14 22:20:06 +0000 2021";"GA3RK";"RT @kchorrolooko: ARENA COM SUBS | USE CODE "" KCHORRO "" #ad | !loja !ossinhos https://t.co/Qwyjd2iOti";"0";"2";"ad";"Kchorro lôÔko 🐶";"twitch.tv/kchorrolooko";"pt"
"1";"26";"1";"1371224603209592833";"data";"statuses.*";"fetched (200)";"2021-03-14 19:28:47.582198";"Twitter:/search/tweets";"1371224603209592833";"Sun Mar 14 22:19:56 +0000 2021";"kchorrolooko";"ARENA COM SUBS | USE CODE "" KCHORRO "" #ad | !loja !ossinhos https://t.co/Qwyjd2iOti";"17";"2";"ad";"";"twitch.tv/kchorrolooko";"pt"
